tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline
786892,False,True,8945,150000000,"['Action', 'Science Fiction', 'Thriller']","As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",174,Warner Bros. Pictures,5,2024,0,Remember her.
682,False,True,645,7000000,"['Adventure', 'Action', 'Thriller']","Cool government operative James Bond searches for a stolen invention that can turn the sun's heat into a destructive weapon. He soon crosses paths with the menacing Francisco Scaramanga, a hitman so skilled he has a seven-figure working fee. Bond then joins forces with the swimsuit-clad Mary Goodnight, and together they track Scaramanga to a Thai tropical isle hideout where the killer-for-hire lures the slick spy into a deadly maze for a final duel.",60,United Artists,12,1974,97572000,The world's greatest villains tried to kill James Bond...now it's Scaramanga's turn to try!
59962,False,False,,65000000,"['Action', 'Comedy', 'Romance']",Two top CIA operatives wage an epic battle against one another after they discover they are dating the same woman.,444,Dune Entertainment,2,2012,156974557,It's SPY Against SPY
839033,False,False,,0,"['Animation', 'Fantasy', 'Action']","Set 261 years before the events of ""The Lord of the Rings: The Fellowship of the Ring"", The War of the Rohirrim tells the story of Helm Hammerhand, a legendary King of Rohan who must defend against an army of Dunlendings. He becomes the namesake for the stronghold of Helm's Deep.",12,New Line Cinema,12,2024,0,
94329,False,True,257960,1100000,"['Action', 'Thriller', 'Crime']","Deep in the heart of Jakarta's slums lies an impenetrable safe house for the world's most dangerous killers and gangsters. Until now, the run-down apartment block has been considered untouchable to even the bravest of police. Cloaked under the cover of pre-dawn darkness and silence, an elite swat team is tasked with raiding the safe house in order to take down the notorious drug lord that runs it.  But when a chance encounter with a spotter blows their cover and news of their assault reaches the drug lord, the building's lights are cut and all the exits blocked. Stranded on the sixth floor with no way out, the unit must fight their way through the city's worst to survive their mission. Starring Indonesian martial arts sensation Iko Uwais.",860,Celluloid Dreams,3,2012,9148519,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell"
3989,False,False,,32000000,"['Adventure', 'Action', 'Comedy']","When North Korean ruler Kim Jong-il orchestrates a global terrorist plot, it's up to the heavily armed, highly specialized Team America unit to stop his dastardly scheme. The group, which has recruited troubled Broadway actor Gary Johnston, not only has to face off against Jong-il, but they must also contend with the Film Actors Guild, a cadre of Hollywood liberals at odds with Team America's ""policing the world"" tactics.",4,Paramount,10,2004,50900000,Freedom Hangs By A Thread
267193,False,False,,35000000,"['Action', 'Comedy']","Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.",5,Columbia Pictures,2,2016,28000000,Behind every hero is an embarrassing sibling
700,False,True,645,27500000,"['Adventure', 'Action', 'Thriller']",James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Indian Fabergé egg. Bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,7576,EON Productions,6,1983,187500000,James Bond’s all time high!
324849,False,False,,80000000,"['Animation', 'Action', 'Comedy', 'Family']","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",2723,Lin Pictures,2,2017,311950384,Always be yourself...unless you can be Batman.
617502,False,False,,0,"['Action', 'Thriller']",A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.,1020,Millennium Media,7,2021,238524,You're in for a shock.
