source_actor,target_actor,year,roi
9706,15467,1986.0,7.85415223076923
9706,15467,1984.0,15.30534825
9706,15467,1989.0,2.11650304
15467,17900,1986.0,7.85415223076923
9706,17900,1986.0,7.85415223076923
9515,9519,2023.0,1.2512820512820513
9519,13814,2023.0,1.2512820512820513
9515,13814,2023.0,1.2512820512820513
247,996,1980.0,4.5
996,6640,1980.0,4.5
247,6640,1980.0,4.5
2948,16215,2018.0,5.841383463333333
2948,16215,2015.0,2.8504210794520546
2794,2948,2018.0,5.841383463333333
2794,2948,2015.0,2.8504210794520546
10311,12806,1989.0,-0.865
6046,12806,1989.0,-0.865
6046,10311,1989.0,-0.865
15204,15542,2003.0,4.833333333333333
501,15204,2003.0,4.833333333333333
501,15542,2003.0,4.833333333333333
6993,15755,2004.0,0.021666666666666667
4341,6993,2004.0,0.021666666666666667
4341,15755,2004.0,0.021666666666666667
226,3337,2016.0,3.2676965371428572
3337,3975,2016.0,3.2676965371428572
3337,3975,2015.0,2.0731130339321355
226,3975,2016.0,3.2676965371428572
2859,12525,1989.0,-0.8290355
2859,10886,1989.0,-0.8290355
10886,12525,1989.0,-0.8290355
5280,14264,2015.0,1.8290814666666666
5280,14264,2010.0,-0.062
1387,14264,2015.0,1.8290814666666666
1387,5280,2015.0,1.8290814666666666
1387,5280,2018.0,1.1667623714285715
4910,6993,1995.0,5.072413793103448
6993,15206,1995.0,5.072413793103448
4910,15206,1995.0,5.072413793103448
6077,8519,2000.0,5.133333333333334
6077,8519,1998.0,4.114942528735632
6077,8519,2003.0,3.517048827586207
6077,8519,2007.0,2.7214286285714286
6077,14254,2000.0,5.133333333333334
6077,14254,1998.0,4.114942528735632
8519,14254,2000.0,5.133333333333334
8519,14254,1998.0,4.114942528735632
1288,11295,2019.0,2.94638258
8008,11295,2019.0,2.94638258
1288,8008,2019.0,2.94638258
7205,13537,2009.0,0.6142687666666666
13537,18079,2009.0,0.6142687666666666
7205,18079,2009.0,0.6142687666666666
5147,8055,2013.0,-0.91780236
2100,8055,2013.0,-0.91780236
2100,5147,2013.0,-0.91780236
1961,14160,2011.0,1.0390749733333333
1961,12893,2011.0,1.0390749733333333
12893,14160,2011.0,1.0390749733333333
30,456,1977.0,69.49072790909091
30,456,1980.0,28.91111111111111
30,456,1983.0,16.7032457496136
30,456,2015.0,7.44172907755102
456,9799,1977.0,69.49072790909091
456,9799,2019.0,3.296576992
456,9799,1980.0,28.91111111111111
456,9799,1983.0,16.7032457496136
456,9799,2015.0,7.44172907755102
456,9799,2017.0,5.66349415
30,9799,1977.0,69.49072790909091
30,9799,1980.0,28.91111111111111
30,9799,1983.0,16.7032457496136
30,9799,2015.0,7.44172907755102
6120,15929,1991.0,4.602853294117647
6120,10242,1991.0,4.602853294117647
10242,15929,1991.0,4.602853294117647
13162,16167,2021.0,0.003335260869565217
7068,13162,2021.0,0.003335260869565217
7068,16167,2021.0,0.003335260869565217
6490,11162,2021.0,2.0136363636363637
3294,11162,2021.0,2.0136363636363637
3294,6490,2021.0,2.0136363636363637
5147,5480,2023.0,3.8906360555555555
5147,14215,2023.0,3.8906360555555555
5480,14215,2023.0,3.8906360555555555
1134,16544,1989.0,1.0066666666666666
16125,16544,1989.0,1.0066666666666666
1134,16125,1989.0,1.0066666666666666
9341,13024,2012.0,-0.9988660615384616
13024,18094,2012.0,-0.9988660615384616
9341,18094,2012.0,-0.9988660615384616
4020,18080,2004.0,-0.565
4020,11500,2004.0,-0.565
11500,18080,2004.0,-0.565
949,12551,2015.0,1.5257222666666668
733,12551,2015.0,1.5257222666666668
733,949,2015.0,0.39013243333333336
11796,15527,2002.0,0.36916971666666665
11796,15206,2002.0,0.36916971666666665
15206,15527,2002.0,0.36916971666666665
7394,8755,1993.0,0.300893
4775,7394,1993.0,0.300893
4775,8755,1993.0,0.300893
4115,11820,2014.0,-0.3996465
2121,4115,2014.0,-0.3996465
2121,11820,2014.0,-0.3996465
11172,14436,1970.0,9.0489151
7384,11172,1970.0,9.0489151
7384,14436,1970.0,9.0489151
1215,3414,1994.0,1.830310875
3414,17745,1994.0,1.830310875
1215,17745,1994.0,1.830310875
2810,3627,1999.0,0.792
3627,12792,1999.0,0.792
2810,12792,1999.0,0.792
2371,15519,2014.0,3.545744705882353
2371,15519,2023.0,2.3824
2371,15519,2017.0,3.318780255
15519,17202,2014.0,3.545744705882353
15519,17202,2023.0,2.3824
15519,17202,2017.0,3.318780255
2371,17202,2014.0,3.545744705882353
2371,17202,2023.0,2.3824
2371,17202,2017.0,3.318780255
1673,6583,2003.0,-0.33
6583,11162,2003.0,-0.33
1673,11162,2003.0,-0.33
3006,15279,2021.0,1.010324495
3006,18162,2021.0,1.010324495
15279,18162,2021.0,1.010324495
1131,4020,2012.0,5.588461538461538
4020,16997,2012.0,5.588461538461538
1131,16997,2012.0,5.588461538461538
7882,14950,1998.0,1.0385714285714285
7882,14950,1992.0,8.191428571428572
7882,14950,1987.0,7.013333333333334
7882,14950,1989.0,8.116
7882,14449,1998.0,1.0385714285714285
7882,14449,1992.0,8.191428571428572
7882,14449,1989.0,8.116
14449,14950,1998.0,1.0385714285714285
14449,14950,1992.0,8.191428571428572
14449,14950,1989.0,8.116
14449,14950,1997.0,-0.6274354339622642
6364,16253,1985.0,-0.11822088888888889
13569,16253,1985.0,-0.11822088888888889
6364,13569,1985.0,-0.11822088888888889
9694,13450,2022.0,3.77887902
3085,9694,2022.0,3.77887902
3085,9694,2016.0,2.757462077777778
3085,13450,2022.0,3.77887902
1809,4526,2006.0,8.497354
4526,12577,2006.0,8.497354
1809,12577,2006.0,8.497354
804,6313,2021.0,0.259
804,10275,2021.0,0.259
6313,10275,2021.0,0.259
3227,5280,2003.0,-0.3775634909090909
3227,12779,2003.0,-0.3775634909090909
5280,12779,2003.0,-0.3775634909090909
11796,13246,2019.0,1.3105349385245901
412,11796,2019.0,1.3105349385245901
412,13246,2019.0,1.3105349385245901
747,14432,2003.0,2.386206896551724
747,11292,2003.0,2.386206896551724
11292,14432,2003.0,2.386206896551724
2351,9383,2014.0,2.0799641818181818
9383,14308,2014.0,2.0799641818181818
2351,14308,2014.0,2.0799641818181818
30,8449,2023.0,0.3026806922293858
30,5761,2023.0,0.3026806922293858
5761,8449,2023.0,0.3026806922293858
8309,14432,2015.0,-0.21135733333333334
14432,14766,2015.0,-0.21135733333333334
8309,14766,2015.0,-0.21135733333333334
8829,11571,2013.0,5.653936507692308
8829,11571,2012.0,8.25859632
8829,11571,2014.0,5.042853688
8829,11571,2015.0,3.08392663125
4631,8829,2013.0,5.653936507692308
4631,8829,2012.0,8.25859632
4631,8829,2014.0,5.042853688
4631,8829,2015.0,3.08392663125
4631,11571,2013.0,5.653936507692308
4631,11571,2012.0,8.25859632
4631,11571,2014.0,5.042853688
4631,11571,2015.0,3.08392663125
1775,5480,2008.0,0.8888888888888888
597,5480,2008.0,0.8888888888888888
597,5480,2015.0,3.361111111111111
597,1775,2008.0,0.8888888888888888
8691,17801,1983.0,-0.57
11037,17801,1983.0,-0.57
11037,17801,1975.0,11.5
8691,11037,1983.0,-0.57
2040,7143,2024.0,0.07703785263157895
2040,7387,2024.0,0.07703785263157895
2040,7387,2021.0,1.6288374727272728
7143,7387,2024.0,0.07703785263157895
12241,14260,2008.0,-0.85932634
8079,14260,2008.0,-0.85932634
8079,12241,2008.0,-0.85932634
13360,17715,1984.0,1.815
13360,17715,1989.0,0.9637700724637681
7384,17715,1984.0,1.815
7384,13360,1984.0,1.815
6041,16690,2022.0,1.6068605945945946
8141,16690,2022.0,1.6068605945945946
6041,8141,2022.0,1.6068605945945946
8400,9461,2011.0,0.4509828695652174
9461,14766,2011.0,0.4509828695652174
8400,14766,2011.0,0.4509828695652174
5312,14229,1967.0,7.388888888888889
8483,14229,1967.0,7.388888888888889
5312,8483,1967.0,7.388888888888889
10388,12806,1986.0,-0.025855333333333334
11052,12806,1986.0,-0.025855333333333334
11052,12806,1985.0,-0.9846153846153847
10388,11052,1986.0,-0.025855333333333334
13537,16953,2003.0,10.903074244680852
13537,16953,2001.0,8.369552301075268
1779,16953,2003.0,10.903074244680852
7754,14264,2014.0,1.0816924494382023
3446,7754,2014.0,1.0816924494382023
3446,14264,2014.0,1.0816924494382023
13583,14571,2001.0,-0.9424068399511432
4937,13583,2001.0,-0.9424068399511432
4937,14571,2001.0,-0.9424068399511432
14181,17715,1981.0,1.034862857142857
17715,17881,1981.0,1.034862857142857
14181,17881,1981.0,1.034862857142857
6583,16927,2015.0,2.9947074230769233
6583,17124,2015.0,2.9947074230769233
16127,17354,2005.0,-0.7346378518518518
16127,17354,2007.0,-0.7816666666666666
8150,16127,2005.0,-0.7346378518518518
8150,17354,2005.0,-0.7346378518518518
8364,15621,1988.0,0.6371428571428571
11712,15621,1988.0,0.6371428571428571
8364,11712,1988.0,0.6371428571428571
11371,14029,2017.0,2.9509615384615384
11371,14029,2009.0,2.5714285714285716
3397,14029,2017.0,2.9509615384615384
3397,11371,2017.0,2.9509615384615384
6482,16625,1993.0,13.604761904761904
16625,17954,1993.0,13.604761904761904
6482,17954,1993.0,13.604761904761904
7143,7167,2021.0,8.609235555
7167,9694,2021.0,8.609235555
7143,9694,2021.0,8.609235555
14119,17301,2006.0,2.2
5185,17301,2006.0,2.2
5185,17301,2013.0,3.2
5185,17301,2012.0,2.218390804597701
5185,14119,2006.0,2.2
1600,12551,2017.0,2.513333333333333
1600,3430,2017.0,2.513333333333333
3430,12551,2017.0,2.513333333333333
12687,13165,1999.0,4.1985686
12687,13165,2001.0,3.523274530612245
13165,15281,1999.0,4.1985686
13165,15281,2001.0,3.523274530612245
13165,15281,2008.0,1.7824126206896551
12687,15281,1999.0,4.1985686
12687,15281,2001.0,3.523274530612245
15515,16127,2008.0,0.6888888888888889
8958,16127,2008.0,0.6888888888888889
8958,15515,2008.0,0.6888888888888889
11149,11539,2013.0,-0.416559
11539,16253,2013.0,-0.416559
11149,16253,2013.0,-0.416559
3975,10426,2021.0,-0.08801391891891892
3975,14399,2021.0,-0.08801391891891892
10426,14399,2021.0,-0.08801391891891892
8496,16161,2008.0,1.270148888888889
8496,15350,2008.0,1.270148888888889
8496,15350,2002.0,2.426
15350,16161,2008.0,1.270148888888889
1310,16027,1995.0,2.1233333333333335
1310,16027,2019.0,-0.9939065849056604
1310,16027,2008.0,0.32498076666666664
1310,8364,1995.0,2.1233333333333335
8364,16027,1995.0,2.1233333333333335
10194,13942,2008.0,1.235
4839,13942,2008.0,1.235
4839,10194,2008.0,1.235
11844,13692,2020.0,1.8885378333333334
586,11844,2020.0,1.8885378333333334
586,13692,2020.0,1.8885378333333334
5262,11476,2023.0,0.070704048
5262,11476,2019.0,3.5760006125
1668,5262,2023.0,0.070704048
1668,11476,2023.0,0.070704048
7378,10970,2010.0,1.275
1453,10970,2010.0,1.275
1453,7378,2010.0,1.275
4362,13246,2000.0,-0.5099382133333333
6755,13246,2000.0,-0.5099382133333333
4362,6755,2000.0,-0.5099382133333333
17706,18184,2020.0,0.781971243902439
10524,18184,2020.0,0.781971243902439
10524,17706,2020.0,0.781971243902439
9207,14160,1982.0,5.572375666666667
9207,14160,1990.0,3.039973
5859,9207,1982.0,5.572375666666667
5859,14160,1982.0,5.572375666666667
9529,12770,2017.0,-0.9946048571428572
8298,12770,2017.0,-0.9946048571428572
8298,9529,2017.0,-0.9946048571428572
7167,17921,2022.0,2.3925
7167,10647,2022.0,2.3925
10647,17921,2022.0,2.3925
7481,15041,2021.0,2.096612028
7481,15041,2015.0,2.5945902408163266
7481,13276,2021.0,2.096612028
13276,15041,2021.0,2.096612028
1500,13903,2011.0,-0.7237257631790768
13545,13903,2011.0,-0.7237257631790768
1500,13545,2011.0,-0.7237257631790768
7704,14979,2009.0,-0.9805757
7704,10440,2009.0,-0.9805757
10440,14979,2009.0,-0.9805757
1302,2689,1964.0,71.5
2689,5704,1964.0,71.5
1302,5704,1964.0,71.5
6735,16127,2023.0,-0.42
6735,16127,2012.0,2.15
6735,16127,2010.0,2.43125
6735,16127,2014.0,1.26
16,16127,2023.0,-0.42
16,6735,2023.0,-0.42
16,6735,2019.0,-0.5094188888888889
1834,6735,2012.0,2.15
1834,6735,2010.0,2.43125
1834,16127,2012.0,2.15
1834,16127,2010.0,2.43125
1834,16127,2007.0,0.61810572
3837,9182,2004.0,0.163654925
3837,10488,2004.0,0.163654925
9182,10488,2004.0,0.163654925
3342,4431,2001.0,4.454840131578948
3342,4431,2011.0,4.0088
3342,4431,2009.0,3.2725207647058823
3342,4431,2015.0,6.975789473684211
3342,4431,2013.0,3.929375
4431,7378,2001.0,4.454840131578948
4431,7378,2009.0,3.2725207647058823
3342,7378,2001.0,4.454840131578948
3342,7378,2023.0,1.0726754705882353
3342,7378,2009.0,3.2725207647058823
3342,7378,2021.0,2.631147505
11055,15376,2000.0,5.8
11055,13899,2000.0,5.8
13899,15376,2000.0,5.8
3022,4857,2010.0,-0.43529411764705883
2453,3022,2010.0,-0.43529411764705883
2453,4857,2010.0,-0.43529411764705883
1036,4905,2014.0,0.23018275
3190,4905,2014.0,0.23018275
1036,3190,2014.0,0.23018275
3337,4362,1996.0,9.898678546666666
3337,17954,1996.0,9.898678546666666
4362,17954,1996.0,9.898678546666666
747,15458,1999.0,-0.4858425083333333
747,4785,1999.0,-0.4858425083333333
4785,15458,1999.0,-0.4858425083333333
30,4738,1981.0,20.662553944444443
30,4738,2008.0,3.2520866648648648
30,15485,1981.0,20.662553944444443
4738,15485,1981.0,20.662553944444443
9647,14119,2008.0,1.5
2280,9647,2008.0,1.5
2280,14119,2008.0,1.5
12350,12872,2016.0,-0.2525
10899,12872,2016.0,-0.2525
10899,12350,2016.0,-0.2525
8027,16686,2005.0,0.44
8027,10539,2005.0,0.44
10539,16686,2005.0,0.44
3638,10865,2010.0,4.159579775
3638,16041,2010.0,4.159579775
10865,16041,2010.0,4.159579775
2401,4242,2021.0,4.55105273076923
4242,5008,2021.0,4.55105273076923
2401,5008,2021.0,4.55105273076923
6174,13101,2022.0,-0.997729885
5082,6174,2022.0,-0.997729885
5082,13101,2022.0,-0.997729885
5082,13101,2019.0,6.822448
3279,15911,1984.0,11.2455
7411,15911,1984.0,11.2455
7411,15911,1991.0,4.098039215686274
3279,7411,1984.0,11.2455
5147,9566,2014.0,3.43808305
8958,9566,2014.0,3.43808305
2927,16353,1982.0,8.77585625
1189,2927,1982.0,8.77585625
1189,16353,1982.0,8.77585625
11796,14432,2009.0,1.1410462
14254,14432,2009.0,1.1410462
11796,14254,2009.0,1.1410462
7761,10816,2012.0,-0.970745
7761,18032,2012.0,-0.970745
10816,18032,2012.0,-0.970745
4708,18084,1995.0,-0.8977824285714285
3838,18084,1995.0,-0.8977824285714285
3838,4708,1995.0,-0.8977824285714285
3390,14041,1963.0,-0.3
3390,3510,1963.0,-0.3
3510,14041,1963.0,-0.3
2056,16699,1997.0,1.3142857142857143
9062,16699,1997.0,1.3142857142857143
2056,9062,1997.0,1.3142857142857143
11027,13942,2007.0,3.731333333333333
11027,13942,2009.0,3.1815
13942,16839,2007.0,3.731333333333333
13942,16839,2009.0,3.1815
13942,16839,2011.0,4.763076923076923
11027,16839,2007.0,3.731333333333333
11027,16839,2009.0,3.1815
7287,10473,2001.0,-0.8187078533333333
10473,12998,2001.0,-0.8187078533333333
7287,12998,2001.0,-0.8187078533333333
11593,11937,1983.0,3.9199864
11937,12868,1983.0,3.9199864
11593,12868,1983.0,3.9199864
12243,13151,2012.0,-0.17924516
11653,12243,2012.0,-0.17924516
11653,13151,2012.0,-0.17924516
9707,14260,2023.0,16.282758620689656
3716,14260,2023.0,16.282758620689656
3716,9707,2023.0,16.282758620689656
2299,5688,2022.0,-0.129586125
5688,9319,2022.0,-0.129586125
2299,9319,2022.0,-0.129586125
419,3243,2003.0,0.23680445
419,11761,2003.0,0.23680445
3243,11761,2003.0,0.23680445
2906,7901,2006.0,0.19543630872483223
2906,7213,2006.0,0.6914313805528923
2906,7213,2000.0,2.9511936933333334
2906,7213,2003.0,2.706468627272727
7213,7901,2006.0,0.19543630872483223
561,3369,1981.0,-0.8363555555555555
1477,3369,1981.0,-0.8363555555555555
561,1477,1981.0,-0.8363555555555555
7643,17529,2002.0,68.671456
9001,17529,2002.0,68.671456
7643,9001,2002.0,68.671456
10335,16562,1988.0,3.3333333333333335
3757,16562,1988.0,3.3333333333333335
3757,10335,1988.0,3.3333333333333335
2002,2948,2015.0,-0.7463865714285715
2948,5926,2015.0,-0.7463865714285715
2002,5926,2015.0,-0.7463865714285715
5829,16127,2005.0,-0.7666666666666667
6120,16127,2005.0,-0.7666666666666667
5829,6120,2005.0,-0.7666666666666667
6543,13146,2023.0,-0.6363636363636364
10736,13146,2023.0,-0.6363636363636364
6543,10736,2023.0,-0.6363636363636364
5253,6735,2015.0,-0.5308108108108108
5253,6735,2018.0,3.284
5253,14658,2015.0,-0.5308108108108108
5253,14658,2018.0,3.284
5253,14658,2023.0,2.6706666666666665
6735,14658,2015.0,-0.5308108108108108
6735,14658,2018.0,3.284
2689,8153,1971.0,7.994
2689,8153,1976.0,4.137333333333333
2689,7732,1971.0,7.994
7732,8153,1971.0,7.994
13162,14766,1999.0,7.037543982608696
1215,13162,1999.0,7.037543982608696
1215,14766,1999.0,7.037543982608696
1215,14766,2005.0,6.522123893805309
1215,14766,2002.0,4.411652733333334
1215,14766,2015.0,-0.94410864
1663,12311,2019.0,-0.2879928333333333
1663,14680,2019.0,-0.2879928333333333
12311,14680,2019.0,-0.2879928333333333
11112,15962,2017.0,7.901526225806451
11112,15962,2015.0,2.61106117165524
11112,18159,2017.0,7.901526225806451
15962,18159,2017.0,7.901526225806451
6557,17158,2001.0,0.4261216176470588
12687,17158,2001.0,0.4261216176470588
6557,12687,2001.0,0.4261216176470588
6081,18065,2014.0,2.398656682352941
6081,18065,2016.0,0.6295169818181818
6081,18065,2015.0,1.7000229727272727
17769,18065,2014.0,2.398656682352941
6081,17769,2014.0,2.398656682352941
4711,10526,1986.0,4.541666666666667
4711,10526,1991.0,2.588888888888889
4711,10526,1989.0,1.34
4711,10526,1982.0,7.066666666666666
4711,10526,1979.0,2.9714285714285715
1384,10526,1986.0,4.541666666666667
1384,10526,1984.0,3.8333333333333335
1384,10526,1991.0,2.588888888888889
1384,10526,1989.0,1.34
1384,10526,1982.0,7.066666666666666
1384,10526,1979.0,2.9714285714285715
1384,4711,1986.0,4.541666666666667
1384,4711,1991.0,2.588888888888889
1384,4711,1989.0,1.34
1384,4711,1982.0,7.066666666666666
1384,4711,1979.0,2.9714285714285715
5480,17924,2019.0,3.5961538461538463
5480,14467,2019.0,3.5961538461538463
14467,17924,2019.0,3.5961538461538463
30,9292,2013.0,0.1412471909090909
30,13718,2013.0,0.1412471909090909
9292,13718,2013.0,0.1412471909090909
3034,12421,1967.0,10.74576705263158
12421,17578,1967.0,10.74576705263158
3034,17578,1967.0,10.74576705263158
13583,13899,2003.0,12.6787688
13899,14911,2003.0,12.6787688
13583,14911,2003.0,12.6787688
2944,5077,2010.0,4.003333333333333
5077,14464,2010.0,4.003333333333333
5077,14464,2007.0,2.2977777777777777
5077,14464,2016.0,6.805
2944,14464,2010.0,4.003333333333333
4648,16927,2023.0,1.3803559
4648,17124,2023.0,1.3803559
4924,12243,2007.0,-0.31555555555555553
10400,12243,2007.0,-0.31555555555555553
4924,10400,2007.0,-0.31555555555555553
9348,17921,2000.0,1.5061538461538462
9348,17921,1999.0,0.44
9348,12730,2000.0,1.5061538461538462
12730,17921,2000.0,1.5061538461538462
3638,12551,2015.0,2.9477815037037036
3638,13160,2015.0,2.9477815037037036
12551,13160,2015.0,2.9477815037037036
4970,6117,2024.0,-0.4310375
1657,6117,2024.0,-0.4310375
1657,4970,2024.0,-0.4310375
3550,9792,2018.0,-0.5857142857142857
6038,9792,2018.0,-0.5857142857142857
3550,6038,2018.0,-0.5857142857142857
5677,11217,2017.0,0.462767
5677,14274,2017.0,0.462767
11217,14274,2017.0,0.462767
3487,14254,2016.0,0.40611791764705885
3487,9243,2016.0,0.40611791764705885
9243,14254,2016.0,0.40611791764705885
1663,9831,2000.0,1.3396983695652174
1422,1663,2000.0,1.3396983695652174
1422,9831,2000.0,1.3396983695652174
13162,14499,2012.0,1.0133333333333334
804,14499,2012.0,1.0133333333333334
804,13162,2012.0,1.0133333333333334
804,13162,1993.0,13.607525772727273
4905,5129,2007.0,1.0794399363636364
4905,5129,2009.0,-0.57643592
4905,16125,2007.0,1.0794399363636364
5129,16125,2007.0,1.0794399363636364
61,11911,2003.0,5.030202533333333
11911,14111,2003.0,5.030202533333333
61,14111,2003.0,5.030202533333333
4020,8838,1988.0,14.333333333333334
4020,8838,1992.0,10.80551043888889
4020,8838,1985.0,36.4
4020,14665,1988.0,14.333333333333334
8838,14665,1988.0,14.333333333333334
2689,5978,1974.0,5.25
2689,15421,1974.0,5.25
2689,15421,1978.0,16.039297
2689,15421,1980.0,3.2254755692307695
5978,15421,1974.0,5.25
12421,15957,1971.0,15.113825972222223
12421,18089,1971.0,15.113825972222223
15957,18089,1971.0,15.113825972222223
205,10954,2021.0,1.8816219466666666
5475,10954,2021.0,1.8816219466666666
205,5475,2021.0,1.8816219466666666
4091,6554,2017.0,-0.8916759936383021
6554,17065,2017.0,-0.8916759936383021
4091,17065,2017.0,-0.8916759936383021
4216,11775,2019.0,-0.9512048666666667
4216,9824,2019.0,-0.9512048666666667
9824,11775,2019.0,-0.9512048666666667
9585,13957,2021.0,0.898755655
12687,13957,2021.0,0.898755655
9585,12687,2021.0,0.898755655
903,4648,2022.0,-0.7777777777777778
4648,12464,2022.0,-0.7777777777777778
903,12464,2022.0,-0.7777777777777778
2881,10063,2011.0,-0.79395908
2881,5463,2011.0,-0.79395908
5463,10063,2011.0,-0.79395908
8361,17571,2009.0,6.049735807692308
4406,8361,2009.0,6.049735807692308
4406,17571,2009.0,6.049735807692308
7462,16776,2012.0,0.5904
7462,10317,2012.0,0.5904
10317,16776,2012.0,0.5904
