tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline,director,actor_0_name,actor_0_id,actor_0_gender,actor_1_name,actor_1_id,actor_1_gender,actor_2_name,actor_2_id,actor_2_gender,actor_3_name,actor_3_id,actor_3_gender,actor_4_name,actor_4_id,actor_4_gender
56996,False,False,,2875000,"['Action', 'Crime', 'Drama', 'Romance']","Young Amrita Goutham's parents bring home a poor and homeless boy from the streets of Hyderabad, and adopt him. Shortly thereafter her life is shattered when her parents are killed by this boy and she goes to live with her brother, and his wife. Years later, she has grown up, and has a niece, Aishwarya. While being chased by some goons, a male named Aditya, comes to her rescue, and she falls in love with him. Amidst nation-wide kidnappings taking place allegedly at the hands of one Kaiser, she soon finds out that Aditya is none other than the one who killed her parents and may have returned back into her family's life to kill all of them.",2320,UTV Motion Pictures,10,2007,4211819,,Surender Reddy,Mahesh Babu,116924,2,Amrita Rao,85890,1,Brahmanandam,113810,2,Nassar,130111,2,Ravi Prakash,1124389,2
142948,False,False,,567000,['Thriller'],An emotional thriller based on a road trip from Kochi to Palakkad. Inspired from the real events that happened in Chennai.,11864,Magic Frames,1,2011,2930000,,Rajesh Pillai,Sreenivasan,123328,2,Kunchacko Boban,997494,2,Rahman,148361,2,Anoop Menon,965546,2,Asif Ali,931520,2
381298,False,True,912964,6629605,"['Action', 'Crime', 'Drama']","Ajay Mehra (from previous Ghayal-1990), after finishing off his life sentence, starts a newspaper called Satyakam. Still dealing with the haunting trauma of losing his loved ones, Ajay manages to make a credible name for himself in investigative journalism. Working with a strange team of RTI activists, ex-criminals and ilk; and even stranger ways of unearthing and presenting truth, Ajay Mehra has earned quite a fan following among the youths, who finds his fearless and unforgiving approach in dealing with all kinds of sociopaths very inspiring.",3726,Vijayta Films,2,2016,7637304,,,Sunny Deol,86302,2,Om Puri,11851,2,Soha Ali Khan,53672,1,Narendra Jha,1637846,0,Aanchal Munjal,131839,1
81870,False,True,701644,35000000,"['Adventure', 'Action', 'Drama']","Flying Swords of Dragon Gate picks up three years after the infamous Dragon Inn was burnt down in the desert when its innkeeper Jade vanished. A new gang of marauders had taken over - innkeepers by day and treasure hunters by night. The inn is the rumoured location of a lost city buried under the desert, and its hidden treasure would only be revealed by a gigantic storm every 60 years. The gang used the inn as a front to locate the lost treasure.",8249,Beijing Liangzi Group,12,2011,127709,Jet Li and Tsui Hark are back together.,Tsui Hark,Jet Li,1336,2,Zhou Xun,71057,1,Chen Kun,109809,2,Gwei Lun-mei,85962,1,Chris Lee,106578,1
131940,False,False,,6900000,"['Romance', 'Drama']","Two gangs fight for control of the streets: the Scorpions, led by Prakash and the Eagles, fronted by Max. When Prakash's brother Rahul comes to visit, he meets and quickly falls in love with Shirley, not realizing she's the sister of his brother's rival, Max. Though Rahul tries to keep their relationship secret, it's only a matter of time before it brings the gang rivalry to a head.",99664,United Seven Combines,6,2000,15000000,Full of life,Mansoor Khan,Shah Rukh Khan,35742,2,Aishwarya Rai Bachchan,87773,1,Chandrachur Singh,974865,2,Sharad S. Kapoor,1046504,0,Priya Gill,1044994,1
415214,False,False,,30200000,"['Action', 'Adventure', 'Crime', 'War']",Chinese narco-cops take their mission to the Golden Triangle following the Mekong River massacre of innocent fishermen by the region's drug lord.,109465,Film Fireworks Production,9,2016,173000000,,Dante Lam,Zhang Hanyu,99687,2,Eddie Peng,126778,2,Joyce Feng,1175570,1,Wu Xudong,1739145,2,Zhan Liguo,3287627,2
65946,False,False,,5800000,"['Action', 'Comedy']",A man teams up with his family to reform his girlfriend's two warring uncles who want to inherit her wealth.,80112,Sohail Khan Production,6,2011,27000000,,,Salman Khan,42802,2,Asin Thottumkal,81092,1,Paresh Rawal,85033,2,Sharat Saxena,55066,2,Sudesh Lehri,140667,2
506750,False,False,,2179800,"['War', 'Action', 'Adventure']","A prototype of a  new cutting edge tank is being taken on a secret mission to Moscow, to Comrade Stalin. Soon the cross-country run turns into a ruthless race. Followed by Nazis, the tanks' team defeats their pursuers and proves the great ability and vast superiority of the machine that is about to become a legendary T-34.",18065,20th Century Fox Russia,4,2018,36837802,,Kim Druzhinin,Andrey Merzlikin,59899,2,Aglaya Tarasova,1506301,1,Anton Filipenko,1744793,2,Dmitriy Podnozov,1606883,2,Sergey Chetvertkov,2017207,2
501987,False,False,,11000000,"['Drama', 'Action']","Bharat, a graduate raised in London clueless about the future becomes the Chief Minister of Andhra Pradesh due to the circumstances. New to India and with no political knowledge he learns the ropes quickly and governs efficiently. However, while he endears himself to the crowd, he makes enemies out of the political class, including his own party members who create trouble for him and try to stop him from bringing in changes in the society.",68594,DVV Entertainment,4,2018,33907059,,Koratala Siva,Mahesh Babu,116924,2,Kiara Advani,1340978,1,Prakash Raj,89153,2,R. Sarathkumar,237683,2,Aamani,581097,1
254472,False,False,,2500000,"['Horror', 'Comedy', 'Science Fiction']",A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.,5754,Rat Pack Filmproduktion,7,2015,71085,"Get inside, get away, just don't get stung",Benni Diez,Matt O'Leary,71467,2,Jessica Cook,1382112,1,Lance Henriksen,2714,2,Clifton Collins Jr.,5365,2,David Masterson,116312,2
